id,label
0,4
1,4
2,2
3,2
4,1
5,4
6,4
7,6
8,4
9,7
10,0
11,7
12,8
13,4
14,6
15,7
16,2
17,0
18,0
19,3
20,7
21,1
22,4
23,7
24,3
25,4
26,5
27,6
28,8
29,6
30,6
31,6
32,8
33,1
34,2
35,7
36,7
37,3
38,4
39,3
40,8
41,8
42,4
43,4
44,4
45,4
46,4
47,0
48,4
49,4
50,7
51,2
52,1
53,7
54,5
55,4
56,1
57,4
58,4
59,7
60,8
61,8
62,0
63,4
64,8
65,1
66,0
67,5
68,4
69,7
70,1
71,6
72,4
73,4
74,0
75,8
76,7
77,9
78,6
79,8
80,1
81,8
82,0
83,4
84,0
85,7
86,7
87,4
88,3
89,4
90,9
91,8
92,3
93,4
94,4
95,6
96,1
97,4
98,6
99,4
100,7
101,4
102,7
103,5
104,8
105,7
106,6
107,3
108,0
109,8
110,8
111,4
112,3
113,4
114,4
115,4
116,7
117,7
118,8
119,4
120,4
121,7
122,3
123,1
124,8
125,3
126,7
127,1
128,0
129,4
130,6
131,7
132,7
133,4
134,4
135,8
136,4
137,4
138,8
139,4
140,2
141,0
142,8
143,8
144,4
145,7
146,4
147,7
148,3
149,0
150,8
151,8
152,4
153,7
154,8
155,9
156,8
157,8
158,4
159,0
160,4
161,0
162,7
163,0
164,4
165,4
166,2
167,0
168,2
169,3
170,8
171,4
172,7
173,4
174,5
175,3
176,2
177,4
178,4
179,2
180,4
181,3
182,4
183,1
184,5
185,0
186,1
187,8
188,4
189,7
190,3
191,6
192,1
193,9
194,4
195,8
196,0
197,6
198,8
199,4
200,6
201,6
202,4
203,1
204,4
205,8
206,2
207,7
208,0
209,7
210,0
211,1
212,2
213,0
214,4
215,4
216,3
217,5
218,4
219,1
220,9
221,5
222,2
223,3
224,1
225,1
226,5
227,7
228,8
229,2
230,5
231,4
232,1
233,7
234,3
235,0
236,4
237,0
238,3
239,4
240,8
241,5
242,0
243,7
244,0
245,7
246,8
247,6
248,7
249,7
250,3
251,2
252,4
253,5
254,7
255,2
256,4
257,8
258,8
259,1
260,4
261,8
262,4
263,7
264,8
265,8
266,2
267,6
268,1
269,7
270,8
271,4
272,8
273,6
274,4
275,9
276,4
277,8
278,8
279,4
280,6
281,4
282,7
283,3
284,0
285,3
286,4
287,5
288,8
289,4
290,2
291,8
292,0
293,3
294,6
295,1
296,6
297,7
298,4
299,0
300,8
301,7
302,1
303,8
304,4
305,6
306,4
307,5
308,4
309,8
310,3
311,4
312,7
313,0
314,7
315,4
316,8
317,1
318,7
319,2
320,6
321,4
322,7
323,8
324,4
325,2
326,2
327,4
328,4
329,0
330,7
331,2
332,1
333,6
334,8
335,7
336,3
337,6
338,8
339,7
340,7
341,3
342,7
343,1
344,7
345,9
346,3
347,8
348,3
349,1
350,8
351,3
352,4
353,7
354,8
355,4
356,4
357,4
358,4
359,0
360,7
361,4
362,2
363,4
364,4
365,6
366,8
367,4
368,4
369,4
370,8
371,9
372,8
373,1
374,4
375,1
376,3
377,9
378,1
379,8
380,4
381,2
382,4
383,6
384,8
385,5
386,3
387,6
388,5
389,0
390,8
391,1
392,6
393,4
394,0
395,6
396,3
397,6
398,6
399,6
400,0
401,8
402,4
403,7
404,6
405,2
406,0
407,4
408,4
409,3
410,9
411,1
412,6
413,4
414,6
415,5
416,7
417,8
418,0
419,5
420,4
421,5
422,8
423,9
424,2
425,0
426,0
427,8
428,4
429,6
430,8
431,8
432,7
433,7
434,3
435,7
436,4
437,2
438,8
439,9
440,4
441,4
442,6
443,4
444,3
445,7
446,4
447,2
448,2
449,4
450,3
451,2
452,4
453,8
454,4
455,4
456,4
457,4
458,8
459,4
460,7
461,7
462,7
463,5
464,4
465,3
466,4
467,4
468,4
469,7
470,3
471,9
472,5
473,7
474,6
475,3
476,7
477,9
478,4
479,4
480,7
481,4
482,9
483,6
484,8
485,0
486,4
487,4
488,8
489,2
490,1
491,1
492,4
493,7
494,4
495,8
496,5
497,8
498,4
499,8
500,7
501,3
502,8
503,4
504,4
505,8
506,3
507,4
508,1
509,2
510,6
511,8
512,4
513,8
514,4
515,7
516,1
517,9
518,6
519,7
520,8
521,4
522,7
523,1
524,0
525,4
526,3
527,8
528,8
529,4
530,2
531,8
532,4
533,4
534,8
535,1
536,8
537,6
538,8
539,4
540,3
541,6
542,7
543,3
544,8
545,8
546,1
547,7
548,4
549,8
550,4
551,4
552,2
553,8
554,4
555,8
556,8
557,2
558,0
559,8
560,4
561,5
562,9
563,4
564,6
565,3
566,2
567,8
568,4
569,7
570,7
571,7
572,3
573,8
574,1
575,5
576,5
577,8
578,4
579,1
580,7
581,5
582,6
583,8
584,4
585,4
586,4
587,8
588,4
589,5
590,2
591,9
592,9
593,4
594,7
595,8
596,3
597,4
598,8
599,4
600,5
601,7
602,8
603,4
604,4
605,6
606,4
607,1
608,7
609,1
610,7
611,7
612,4
613,4
614,1
615,8
616,3
617,8
618,7
619,2
620,1
621,1
622,0
623,3
624,8
625,8
626,1
627,8
628,2
629,7
630,7
631,1
632,7
633,5
634,2
635,6
636,8
637,8
638,4
639,4
640,1
641,4
642,2
643,3
644,2
645,4
646,4
647,5
648,4
649,3
650,2
651,2
652,4
653,9
654,6
655,2
656,0
657,4
658,4
659,2
660,2
661,5
662,2
663,8
664,2
665,2
666,3
667,6
668,2
669,6
670,3
671,6
672,1
673,4
674,8
675,4
676,7
677,9
678,5
679,1
680,5
681,4
682,3
683,9
684,1
685,2
686,8
687,0
688,8
689,4
690,4
691,1
692,7
693,1
694,9
695,3
696,4
697,0
698,3
699,8
700,4
701,4
702,0
703,8
704,1
705,8
706,7
707,8
708,2
709,5
710,9
711,8
712,3
713,4
714,5
715,5
716,4
717,4
718,1
719,4
720,1
721,4
722,8
723,4
724,4
725,1
726,0
727,2
728,4
729,2
730,8
731,8
732,7
733,0
734,7
735,6
736,0
737,8
738,6
739,4
740,8
741,2
742,8
743,3
744,6
745,1
746,2
747,1
748,7
749,8
750,7
751,2
752,2
753,7
754,4
755,1
756,8
757,2
758,4
759,4
760,4
761,4
762,7
763,7
764,8
765,7
766,2
767,6
768,4
769,0
770,6
771,1
772,8
773,2
774,8
775,2
776,0
777,8
778,8
779,8
780,6
781,1
782,0
783,3
784,4
785,4
786,8
787,8
788,6
789,4
790,6
791,8
792,2
793,4
794,0
795,1
796,3
797,4
798,2
799,9
800,7
801,7
802,7
803,0
804,8
805,5
806,4
807,6
808,7
809,8
810,2
811,3
812,1
813,2
814,3
815,0
816,5
817,2
818,7
819,1
820,3
821,3
822,6
823,4
824,1
825,7
826,3
827,4
828,6
829,4
830,9
831,7
832,4
833,5
834,7
835,6
836,8
837,8
838,4
839,8
840,0
841,4
842,6
843,8
844,8
845,4
846,4
847,6
848,2
849,1
850,4
851,4
852,4
853,8
854,3
855,0
856,2
857,3
858,3
859,0
860,2
861,1
862,2
863,4
864,9
865,0
866,8
867,4
868,5
869,6
870,7
871,8
872,2
873,8
874,1
875,7
876,2
877,4
878,2
879,7
880,9
881,2
882,9
883,0
884,7
885,4
886,1
887,7
888,1
889,2
890,1
891,6
892,8
893,8
894,8
895,4
896,6
897,7
898,7
899,4
900,0
901,5
902,3
903,1
904,8
905,6
906,7
907,4
908,1
909,2
910,0
911,1
912,9
913,4
914,7
915,2
916,3
917,6
918,2
919,4
920,4
921,8
922,8
923,4
924,4
925,4
926,3
927,6
928,7
929,8
930,4
931,4
932,2
933,3
934,6
935,8
936,4
937,8
938,3
939,6
940,4
941,4
942,1
943,4
944,3
945,7
946,1
947,7
948,7
949,7
950,3
951,6
952,2
953,6
954,8
955,4
956,4
957,0
958,4
959,1
960,4
961,7
962,4
963,4
964,8
965,4
966,3
967,3
968,8
969,4
970,7
971,4
972,2
973,4
974,8
975,7
976,4
977,4
978,8
979,6
980,4
981,4
982,6
983,6
984,4
985,4
986,8
987,4
988,4
989,8
990,1
991,3
992,7
993,3
994,1
995,8
996,6
997,1
998,7
999,4
1000,4
1001,8
1002,1
1003,4
1004,7
1005,8
1006,4
1007,4
1008,1
1009,8
1010,3
1011,7
1012,4
1013,7
1014,2
1015,8
1016,2
1017,4
1018,4
1019,7
1020,4
1021,8
1022,0
1023,4
1024,1
1025,0
1026,7
1027,7
1028,4
1029,2
1030,9
1031,7
1032,6
1033,1
1034,2
1035,4
1036,1
1037,1
1038,0
1039,2
1040,0
1041,4
1042,7
1043,6
1044,8
1045,4
1046,4
1047,5
1048,0
1049,6
1050,6
1051,8
1052,8
1053,2
1054,2
1055,8
1056,4
1057,1
1058,8
1059,3
1060,3
1061,1
1062,2
1063,7
1064,1
1065,4
1066,4
1067,6
1068,0
1069,0
1070,4
1071,4
1072,7
1073,6
1074,5
1075,7
1076,2
1077,4
1078,8
1079,4
1080,6
1081,4
1082,7
1083,8
1084,8
1085,2
1086,4
1087,7
1088,7
1089,4
1090,1
1091,4
1092,5
1093,8
1094,3
1095,4
1096,4
1097,6
1098,1
1099,6
1100,4
1101,8
1102,4
1103,4
1104,7
1105,8
1106,8
1107,0
1108,8
1109,4
1110,6
1111,8
1112,7
1113,7
1114,1
1115,5
1116,4
1117,7
1118,9
1119,8
1120,0
1121,4
1122,4
1123,1
1124,4
1125,4
1126,3
1127,6
1128,4
1129,3
1130,5
1131,6
1132,7
1133,4
1134,8
1135,7
1136,5
1137,2
1138,7
1139,1
1140,8
1141,7
1142,8
1143,4
1144,2
1145,8
1146,3
1147,8
1148,4
1149,7
1150,4
1151,4
1152,4
1153,2
1154,4
1155,4
1156,5
1157,5
1158,8
1159,4
1160,3
1161,2
1162,8
1163,8
1164,7
1165,7
1166,7
1167,3
1168,0
1169,3
1170,4
1171,3
1172,4
1173,7
1174,4
1175,4
1176,1
1177,4
1178,2
1179,7
1180,8
1181,4
1182,4
1183,4
1184,4
1185,6
1186,2
1187,4
1188,3
1189,4
1190,4
1191,4
1192,6
1193,4
1194,4
1195,8
1196,4
1197,1
1198,2
1199,0
1200,0
1201,8
1202,3
1203,2
1204,5
1205,8
1206,8
1207,4
1208,4
1209,8
1210,9
1211,4
1212,7
1213,8
1214,7
1215,8
1216,7
1217,4
1218,5
1219,4
1220,8
1221,8
1222,6
1223,5
1224,4
1225,5
1226,7
1227,3
